game_number,team_team_id,team_goals,team_pim,team_shots,team_powerPlayPercentage,team_powerPlayGoals,team_powerPlayOpportunities,team_faceOffWinPercentage,team_blocked,team_takeaways,team_giveaways,team_hits,team_SV_Pct,team_SH_Pct,team_CF_Pct,team_win,is_home_team,home_victory
2019020294,10.0,3.35,7.9,33.3,14.544999999999998,0.6,3.4,52.35000000000001,12.75,7.3,12.55,19.35,0.9038729654000003,0.10078605524999999,0.51372491645,0.45,1,False
2019020308,10.0,3.2,7.8,32.75,13.544999999999998,0.55,3.25,53.370000000000005,12.8,7.0,12.6,19.7,0.9050967416000001,0.09805948075000001,0.5078738526,0.4,0,True
2019020329,10.0,3.05,7.3,32.95,11.544999999999998,0.45,3.1,53.86,12.4,6.8,12.55,20.6,0.8989261427,0.09267808055,0.5116700222499999,0.35,0,True
2019020343,10.0,2.9,7.2,32.75,13.044999999999998,0.45,2.95,53.839999999999996,12.45,6.6,12.0,21.05,0.9007118570000003,0.08895162685000002,0.51203202315,0.35,0,False
2019020357,10.0,2.95,7.1,32.7,13.044999999999998,0.45,2.85,53.95,12.7,6.15,11.45,21.15,0.9040989537500002,0.09055590495000002,0.51012230095,0.4,0,False
2019020379,10.0,3.05,7.1,32.7,13.044999999999998,0.45,2.85,53.154999999999994,13.3,6.4,11.55,21.25,0.9106509602999999,0.09260616950000002,0.507490722,0.45,0,False
2019020392,10.0,3.1,7.0,33.35,18.044999999999998,0.5,2.75,52.995000000000005,12.95,6.4,11.45,21.25,0.914354664,0.09316172505,0.5093923918,0.45,0,True
2019020405,10.0,3.1,7.0,33.1,14.709999999999999,0.4,2.8,52.225,12.65,6.3,11.05,21.1,0.9106600827,0.09417592379999999,0.5081728796,0.4,1,True
2019020428,10.0,3.05,6.7,33.65,19.71,0.45,2.8,52.279999999999994,12.35,6.45,11.35,22.0,0.9152434160499997,0.09181400520000002,0.50974850985,0.45,0,True
2019020434,10.0,2.9,6.6,33.6,19.71,0.45,2.85,51.625,12.65,5.95,10.9,20.8,0.9095757141499998,0.08670316780000001,0.5145555274,0.4,1,False
2019020459,10.0,2.8,6.4,34.0,19.71,0.45,2.8,51.55499999999999,13.05,6.3,11.1,20.35,0.9113905961999998,0.0831465094,0.5186944359499999,0.4,0,False
2019020481,10.0,2.95,6.65,33.85,23.46,0.5,2.7,51.7,13.3,6.4,11.1,20.0,0.9129473728,0.08907243529999999,0.5200043578999999,0.45,0,False
2019020494,10.0,2.95,6.75,33.8,23.46,0.5,2.55,51.875,13.4,6.35,10.4,19.8,0.91460649795,0.08930320454999999,0.51061994525,0.45,0,True
2019020511,10.0,2.95,6.65,33.95,23.46,0.5,2.65,51.52,13.3,6.8,10.55,18.8,0.9128521119499998,0.08901857455,0.5139268236000001,0.45,0,False
2019020525,10.0,3.0,6.05,34.0,27.835,0.5,2.3,50.89,13.4,6.9,10.8,19.25,0.9175613666499999,0.08901857455,0.5125289741500001,0.5,1,True
2019020550,10.0,3.1,5.55,34.35,27.835,0.5,2.25,52.129999999999995,13.5,7.35,10.6,18.65,0.9163113666499998,0.08949934379999999,0.5189575456,0.5,0,False
2019020556,10.0,3.25,5.55,35.2,29.5,0.55,2.2,51.714999999999996,13.45,7.3,10.6,18.05,0.91149318485,0.09047760464999999,0.5214891912,0.5,1,True
2019020569,10.0,3.35,6.2,34.5,30.329999999999995,0.55,2.05,51.794999999999995,12.85,7.55,10.3,17.6,0.9111423076499999,0.0964705541,0.5181202565999999,0.5,1,True
2019020583,10.0,3.65,6.2,34.45,32.83,0.65,2.1,51.394999999999996,12.7,8.1,10.45,16.85,0.90676730765,0.1031810804,0.5145767783499999,0.55,0,False
2019020593,10.0,3.7,6.0,33.45,33.33,0.65,2.05,51.459999999999994,12.35,8.15,10.5,16.35,0.9069773916999999,0.10642906519999999,0.5110110732,0.6,1,False
2019020616,10.0,3.7,6.0,34.5,35.83,0.7,2.05,52.589999999999996,12.4,8.4,9.75,15.85,0.9072949960499999,0.10318832445000001,0.51398764475,0.6,0,False
2019020633,10.0,3.8,6.1,34.4,37.49499999999999,0.75,2.1,51.830000000000005,12.75,8.5,9.3,15.0,0.9099885987499998,0.10531966085,0.5156999735,0.65,0,False
2019020646,10.0,4.05,6.2,34.15,39.15999999999999,0.8,2.15,50.910000000000004,13.15,8.75,9.75,13.7,0.9147583355999999,0.11451879504999998,0.5079396094999999,0.7,1,True
2019020659,10.0,4.1,6.1,33.65,36.66,0.75,2.05,51.010000000000005,12.65,9.05,10.45,13.15,0.91892500225,0.11603394654999999,0.5060562161,0.75,1,False
2019020675,10.0,4.15,6.4,33.8,37.91,0.8,2.25,51.335,12.7,9.4,10.9,13.35,0.91196647695,0.11704404755,0.5026970429500001,0.7,1,False
2019020707,10.0,4.05,6.3,33.8,35.41,0.75,2.3,51.779999999999994,12.0,9.55,11.05,12.95,0.91066338815,0.11499378299999999,0.5081504354499999,0.65,0,True
2019020715,10.0,3.95,6.5,33.45,30.409999999999997,0.7,2.4,51.68500000000002,11.95,9.7,11.0,12.55,0.8968702847000001,0.1136935466,0.5084233353000001,0.6,1,True
2019020728,10.0,4.1,6.7,33.7,32.91,0.8,2.4,52.675,12.55,10.15,11.5,13.0,0.8971165901500001,0.115887904,0.5081068796000001,0.65,1,False
2019020747,10.0,4.05,6.7,33.35,29.160000000000004,0.8,2.55,52.70000000000001,12.55,10.35,11.8,12.55,0.8972207568,0.11495121149999998,0.5081903172500001,0.6,1,False
2019020770,10.0,4.1,6.5,33.6,31.660000000000004,0.85,2.6,53.74500000000002,12.05,10.5,12.05,12.65,0.8973257988500001,0.11619580024999998,0.5104431908,0.6,0,False
2019020777,10.0,4.3,6.3,33.2,31.660000000000004,0.85,2.65,53.00500000000001,11.75,10.15,11.55,12.7,0.8979962968999999,0.12158041559999999,0.5034722644999999,0.65,0,False
2019020795,10.0,4.3,5.95,33.55,26.660000000000004,0.75,2.65,53.375,12.2,10.05,11.8,13.25,0.8971559607499999,0.1183817624,0.50252748375,0.65,1,True
2019020809,10.0,4.2,6.05,34.05,29.995000000000005,0.85,2.7,53.5,11.95,10.35,12.35,14.0,0.89643801205,0.1151595402,0.5090293533000001,0.65,1,False
2019020825,10.0,4.25,6.15,34.05,31.660000000000004,0.9,2.7,54.07000000000001,11.85,10.2,12.25,13.9,0.8952475359000001,0.11663012845000001,0.51238914165,0.65,0,True
2019020839,10.0,4.2,6.5,33.95,29.159999999999997,0.9,2.75,54.2,11.6,10.0,12.3,13.45,0.8907165342999999,0.11679141875000001,0.5143570130999999,0.6,1,True
2019020845,10.0,4.2,6.7,34.05,31.159999999999997,1.0,2.95,53.654999999999994,12.0,9.85,12.3,13.6,0.88904986765,0.11768427590000001,0.5162800900000001,0.6,0,True
2019020867,10.0,3.95,6.6,33.2,29.495000000000005,0.95,2.9,53.535000000000004,12.4,9.65,12.35,14.0,0.8925347160999999,0.11235818895000001,0.51081896885,0.55,1,True
2019020881,10.0,3.9,5.75,34.1,27.830000000000002,0.9,2.9,53.575,12.9,9.45,12.85,14.05,0.8914986800499998,0.10732107340000001,0.5160864249499999,0.55,1,False
2019020901,10.0,3.6,6.1,33.7,27.830000000000002,0.85,2.8,54.019999999999996,12.4,9.2,12.6,14.45,0.8911039431999997,0.10133635355,0.5241299032,0.5,0,False
2019020913,10.0,3.55,6.1,33.4,25.330000000000002,0.75,2.65,54.065,13.05,9.1,12.7,15.45,0.89454309665,0.0995795968,0.5169774066,0.5,0,True
2019020921,10.0,3.45,6.1,32.1,22.830000000000002,0.7,2.6,52.68000000000001,13.25,8.65,12.85,15.5,0.8941775995500001,0.0999583847,0.5049580052,0.5,0,True
2019020933,10.0,3.35,6.1,32.45,21.165,0.65,2.65,53.1,12.7,8.3,12.9,16.4,0.8856127847500002,0.09737901965000001,0.50932675755,0.45,1,True
2019020951,10.0,3.25,6.25,32.55,21.165,0.65,2.65,53.714999999999996,13.05,8.15,12.85,16.8,0.88873778475,0.09333140059999999,0.51604359145,0.45,1,False
2019020970,10.0,3.25,6.9,32.7,21.165,0.65,2.85,53.55,13.2,7.8,12.9,16.7,0.88235480605,0.0945551768,0.51198664105,0.4,0,False
2019020987,10.0,3.25,6.6,32.05,22.415,0.7,2.85,52.835,13.0,7.75,12.5,16.65,0.8857538208000001,0.09769527339999999,0.5072650061,0.45,0,False
2019021003,10.0,3.35,6.75,32.1,22.415,0.7,2.75,52.665,13.2,7.3,12.75,17.0,0.8855554080999999,0.0994809877,0.5061110947,0.5,1,True
2019021028,10.0,3.35,6.75,31.25,22.415,0.7,2.8,52.69500000000001,14.0,7.35,13.15,17.2,0.8956448078500001,0.10039808234999999,0.49907472020000004,0.55,0,True
2019021041,10.0,3.1,6.45,30.9,19.915,0.6,2.75,52.475,13.7,7.05,12.9,17.25,0.89713595415,0.09501087695,0.4968911759,0.5,0,False
2019021048,10.0,3.05,6.55,30.9,18.665,0.55,2.7,52.010000000000005,13.75,6.75,12.4,17.05,0.89869845415,0.09362198805000001,0.4988089975,0.55,0,True
2019021070,10.0,3.0,6.9,30.8,16.165,0.5,2.75,51.120000000000005,13.85,6.65,12.3,17.3,0.903950555,0.09220458825,0.49838328445,0.55,1,True
2019020309,19.0,3.05,6.85,28.6,26.0,0.85,3.2,52.525,12.1,7.4,9.15,20.25,0.9126315114000001,0.10268126755,0.48343076734999996,0.6,1,False
2019020324,19.0,3.0,6.85,29.4,23.5,0.8,3.3,52.260000000000005,11.7,7.2,9.0,20.55,0.9107932761,0.09945160245000002,0.4959492996,0.6,1,True
2019020338,19.0,3.0,6.95,29.6,23.5,0.8,3.4,52.455000000000005,11.85,7.45,9.2,20.55,0.9114637741499998,0.09748190550000002,0.5007142182,0.6,1,True
2019020358,19.0,3.1,7.3,29.65,26.0,0.85,3.35,52.71500000000001,11.5,7.65,8.8,19.75,0.9144049505999998,0.10054642165000001,0.5002941913000001,0.6,1,False
2019020370,19.0,2.9,7.6,29.1,26.415,0.85,3.3,52.745000000000005,11.0,7.7,8.85,19.45,0.9177300737499999,0.09744813105000003,0.4931702584,0.55,0,False
2019020380,19.0,2.85,7.75,28.9,23.915,0.8,3.35,51.875000000000014,10.85,7.5,8.6,18.9,0.92192272795,0.09627571725000003,0.49334709304999996,0.6,0,False
2019020402,19.0,2.95,8.05,29.4,23.915,0.8,3.35,51.49500000000002,10.35,7.25,8.0,18.85,0.9223245136500001,0.09798849720000002,0.49331294005000004,0.65,0,False
2019020411,19.0,2.95,7.55,29.55,23.915,0.8,3.25,51.535000000000004,10.65,7.25,8.35,19.3,0.92544951365,0.09649854570000002,0.4942848071,0.7,1,True
2019020422,19.0,3.1,7.25,29.2,25.580000000000002,0.85,3.25,50.815000000000005,10.95,7.25,8.65,19.2,0.9305570405499999,0.10281662850000002,0.4857538453,0.75,0,False
2019020435,19.0,3.15,6.85,29.45,27.080000000000002,0.85,3.1,50.370000000000005,10.85,7.45,8.4,19.6,0.9333348183499999,0.10348329515000002,0.47631821920000006,0.75,0,True
2019020459,19.0,2.9,6.8,29.1,23.330000000000002,0.7,3.1,50.33,11.05,7.2,8.55,20.75,0.9316465066500002,0.09760094220000001,0.47202416215000015,0.7,1,False
2019020472,19.0,3.0,6.65,29.2,23.330000000000002,0.7,3.1,50.22,11.6,7.0,8.35,20.6,0.9267350735000001,0.10117237075,0.47456039405000006,0.7,0,True
2019020492,19.0,2.85,6.55,29.7,20.830000000000002,0.6,3.0,50.11999999999999,11.2,7.0,8.2,20.8,0.92795696985,0.0920057041,0.4802688874,0.65,1,True
2019020512,19.0,2.95,6.55,29.85,20.830000000000002,0.6,2.85,49.47,11.35,7.15,8.0,21.05,0.9258975829,0.09505610195,0.48286490444999997,0.65,1,True
2019020522,19.0,2.95,6.65,30.4,18.330000000000002,0.5,2.8,49.35999999999999,11.35,7.35,7.8,20.85,0.9240794011000002,0.09291185244999998,0.4898403910999999,0.65,1,True
2019020537,19.0,3.0,6.75,30.7,21.665,0.6,2.8,50.19999999999999,11.2,7.6,7.65,21.05,0.9270297117000001,0.0918976537,0.4878562640999998,0.65,1,True
2019020564,19.0,3.0,6.65,31.55,21.665,0.6,2.95,50.34499999999999,10.7,7.95,7.9,21.2,0.9271114110500001,0.09046667724999999,0.4937853421499999,0.65,0,False
2019020581,19.0,3.0,6.65,31.7,20.830000000000002,0.55,2.9,50.06499999999999,10.65,8.0,7.95,20.75,0.9272748096999999,0.08971416884999998,0.49297423904999993,0.65,0,False
2019020587,19.0,3.05,6.85,31.7,23.33,0.55,2.8,50.38499999999999,10.85,7.7,7.9,20.1,0.9290564188999998,0.09149988315,0.4890580590500001,0.65,0,False
2019020602,19.0,3.2,6.95,31.7,25.829999999999995,0.6,2.75,50.01499999999999,11.25,7.65,7.65,19.85,0.9267053217499998,0.09578559745000001,0.48336575134999993,0.7,1,True
2019020624,19.0,3.3,6.95,31.75,26.665,0.6,2.7,50.915,11.25,7.95,7.3,19.95,0.9286283986999999,0.09763744930000001,0.48491695615,0.75,0,True
2019020634,19.0,3.3,7.05,31.8,26.665,0.6,2.7,51.45,11.7,7.8,7.2,20.05,0.9308783987,0.09760371115000001,0.48156900295,0.75,0,True
2019020644,19.0,3.3,7.25,31.45,28.329999999999995,0.65,2.65,50.67,11.35,7.8,7.1,19.95,0.9253228431500002,0.10012896365000001,0.46990233629999995,0.7,0,True
2019020670,19.0,3.25,7.1,31.45,29.165000000000003,0.7,2.7,51.07000000000001,11.75,7.85,6.85,20.9,0.9177470855500001,0.09851606040000002,0.4729828361499999,0.65,1,True
2019020683,19.0,3.3,6.9,31.5,27.5,0.65,2.7,51.65500000000001,12.0,7.8,7.0,20.4,0.9178702382500001,0.10022546210000001,0.4765509888,0.7,1,True
2019020698,19.0,3.45,6.55,31.8,32.5,0.7,2.6,52.48,11.4,8.2,6.95,20.45,0.9178027618500002,0.10289212875,0.48166778525,0.7,1,True
2019020713,19.0,3.5,7.05,31.6,31.665,0.7,2.65,51.99000000000001,11.2,8.45,7.0,20.0,0.9177406500500002,0.10545221235000002,0.4873225471500001,0.7,1,True
2019020726,19.0,3.55,7.35,31.3,36.665,0.75,2.6,52.46500000000001,10.7,8.6,6.55,19.8,0.9169221976499999,0.10877046274999999,0.49077219820000006,0.7,1,False
2019020744,19.0,3.45,7.45,31.6,35.835,0.75,2.75,52.760000000000005,10.8,8.45,6.35,19.95,0.9121480041,0.10405665805000001,0.49668078235000007,0.65,0,True
2019020772,19.0,3.4,7.65,31.3,34.585,0.75,2.85,52.78000000000001,10.85,8.55,6.6,19.6,0.9003832982000001,0.10363999140000002,0.5079021227499999,0.6,0,True
2019020775,19.0,3.45,7.45,31.75,34.585,0.75,2.8,52.30500000000001,11.25,8.75,6.45,18.4,0.9009287527500003,0.10499134275000002,0.5158547164,0.6,0,False
2019020790,19.0,3.55,7.4,32.05,37.085,0.8,2.7,51.730000000000004,10.85,8.55,6.65,18.1,0.9037363991000003,0.10730226714999999,0.5109375321,0.65,0,True
2019020799,19.0,3.55,7.3,32.15,37.085,0.8,2.75,51.25500000000001,11.6,8.45,6.8,18.65,0.9041633441000002,0.10709393380000001,0.51215171375,0.65,0,True
2019020820,19.0,3.45,7.3,32.7,37.085,0.8,2.85,51.79,11.55,8.35,6.7,18.4,0.9027729102499998,0.10269738209999998,0.51646005435,0.6,1,True
2019020834,19.0,3.55,7.4,32.1,39.585,0.9,2.9,52.620000000000005,11.75,8.3,6.75,18.5,0.9042339492,0.10897268575,0.5095302298,0.6,1,False
2019020852,19.0,3.4,7.2,32.2,37.915,0.85,2.9,52.74499999999999,12.05,8.1,6.9,19.0,0.9015553777499999,0.10579303550000001,0.5160117113,0.55,1,False
2019020876,19.0,3.4,7.2,31.25,39.58,0.9,2.8,53.15999999999999,12.45,7.75,6.7,19.4,0.8985325019499999,0.10752030825,0.51208263325,0.5,0,False
2019020889,19.0,3.35,7.0,31.7,39.58,0.9,2.8,52.89999999999999,12.25,7.4,7.0,19.95,0.8994584279,0.10460822035000002,0.5202527679000001,0.5,0,True
2019020896,19.0,3.4,7.1,31.5,34.58,0.8,2.8,52.44,12.5,7.65,6.95,21.85,0.8953558637999999,0.10788202985000002,0.51481517825,0.45,1,False
2019020912,19.0,3.3,7.7,31.05,33.33,0.8,2.9,52.40999999999999,12.4,7.6,6.85,22.8,0.8948450080999999,0.10650840345000001,0.5156447408500001,0.4,0,True
2019020924,19.0,3.15,7.7,31.6,30.830000000000002,0.75,2.9,50.86,12.3,7.3,6.9,22.5,0.89260141835,0.10223489920000002,0.5209317713500001,0.35,1,True
2019020938,19.0,3.25,7.7,31.6,30.830000000000002,0.75,2.85,50.205,12.2,7.9,7.05,21.6,0.8966014183500001,0.10479900175000004,0.5233861660500001,0.4,1,True
2019020944,19.0,3.15,7.5,32.55,29.165,0.7,2.85,50.405,12.45,7.8,6.95,21.6,0.9049347517000002,0.10033040270000002,0.5411201562,0.45,0,False
2019020964,19.0,3.2,7.6,32.15,25.830000000000002,0.6,2.75,49.864999999999995,12.15,7.65,7.3,21.25,0.90987893035,0.10474835500000002,0.5409542008,0.5,0,False
2019020976,19.0,3.25,7.9,32.1,25.830000000000002,0.6,2.7,50.230000000000004,12.85,7.5,6.85,20.9,0.9118120547,0.10688510715000002,0.5384800807000001,0.5,1,True
2019020990,19.0,3.3,8.1,32.4,23.330000000000002,0.65,2.85,49.870000000000005,13.05,7.3,6.9,20.8,0.9061103003,0.10832654860000002,0.5414407524,0.5,1,True
2019021006,19.0,3.2,7.4,32.55,21.665,0.6,2.75,50.635000000000005,12.95,7.45,6.9,21.15,0.9045757734499998,0.10439335894999999,0.5420359905000001,0.5,1,False
2019021021,19.0,3.15,7.1,32.3,18.330000000000002,0.6,2.85,50.645,13.1,7.25,6.7,21.7,0.9021180161499999,0.1036834198,0.537137272,0.45,0,False
2019021043,19.0,3.15,7.1,31.75,22.495,0.6,2.6,51.3,13.05,7.05,6.7,22.55,0.9081949392499998,0.10389986999999998,0.5288709115000001,0.5,0,True
2019021061,19.0,3.1,6.9,32.2,22.495,0.6,2.6,50.735,12.95,6.95,6.7,22.7,0.9151209354499998,0.10068017304999999,0.5274611370500001,0.5,0,False
2019021075,19.0,3.15,7.85,31.65,22.495,0.6,2.55,51.55,12.55,7.05,7.05,23.3,0.9191209354499998,0.10317497554999999,0.5195760719000001,0.55,1,False
2019020290,22.0,3.0,7.85,28.75,24.995,0.8,2.85,48.17,15.0,8.8,12.1,21.55,0.9166486304000001,0.10558877325000002,0.4833227479500001,0.65,1,True
2019020301,22.0,3.15,8.2,29.05,28.330000000000002,1.0,3.05,48.175000000000004,14.9,8.6,12.0,21.55,0.9166486303999999,0.10948487714999999,0.4878355684500001,0.65,1,False
2019020330,22.0,3.05,7.9,29.2,27.994999999999997,0.95,2.95,47.90500000000001,14.6,8.75,11.45,21.5,0.9175166859499999,0.10568981075000002,0.4889767836000001,0.6,0,False
2019020345,22.0,3.05,7.9,29.3,28.494999999999997,0.9,2.8,47.75500000000001,14.7,8.85,11.2,22.0,0.9183632468,0.10505124115000002,0.48706043935000015,0.6,0,True
2019020360,22.0,2.95,8.8,29.5,25.160000000000004,0.8,2.75,47.85000000000001,14.8,8.3,11.2,21.85,0.9148686231500001,0.10015613625000001,0.4927879935000001,0.55,0,False
2019020364,22.0,2.95,8.4,29.7,24.325000000000003,0.8,2.8,47.81000000000001,15.3,8.5,10.5,22.75,0.91354587185,0.1008385184,0.48900482015,0.55,0,False
2019020387,22.0,3.05,8.2,30.15,27.660000000000004,0.8,2.7,47.675000000000004,15.25,8.55,10.4,22.25,0.9114870482999999,0.10310685815000001,0.49349441655000004,0.6,0,True
2019020414,22.0,2.8,9.05,30.05,22.66,0.7,2.65,46.94500000000001,15.25,8.6,9.6,22.15,0.9103716637,0.09197049450000001,0.49664519409999996,0.55,1,False
2019020418,22.0,2.8,9.25,29.7,22.66,0.7,2.7,46.97500000000001,15.1,8.35,9.55,22.2,0.90571579325,0.09260112515,0.49213130520000004,0.5,0,False
2019020436,22.0,2.95,9.05,29.7,27.660000000000004,0.8,2.7,47.290000000000006,15.35,8.35,9.7,22.2,0.9025907932499999,0.097958268,0.4904628348,0.5,1,False
2019020450,22.0,3.05,8.95,29.75,28.375,0.85,2.95,47.295,14.95,8.35,9.95,22.4,0.89759079325,0.10180442185000001,0.49489140625,0.5,1,True
2019020467,22.0,2.95,8.85,28.75,31.71,0.95,3.0,46.86500000000001,15.0,8.25,9.7,22.35,0.9015590472000001,0.10180442185000001,0.48781522434999997,0.5,1,False
2019020479,22.0,2.95,9.05,28.85,31.71,0.95,3.0,47.68500000000001,15.1,8.4,10.2,21.9,0.9036694368500001,0.10152969655000002,0.48331280695000006,0.5,1,False
2019020493,22.0,3.05,9.55,29.05,32.71,1.0,3.1,47.78500000000001,15.45,8.65,11.25,21.8,0.8979981405500002,0.1041338632,0.48414614025000013,0.5,0,True
